,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group
CrFe1,Cr,1,Fe,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,-0.383,2.42936497192682,2.42936497192682,4.022967,65
VMo1,V,1,Mo,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,-0.537,2.7169581570710655,2.7169581570710655,4.246408152049447,65
MoCr1,Mo,1,Cr,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,-0.547,2.654450832005935,2.654450832005935,4.220624210380261,65
NbIr1,Nb,1,Ir,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,-0.560,2.884095,2.884095,3.897234,123
YNi1,Y,1,Ni,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,-0.292,4.131245,5.481431,7.145498,62
WV1,W,1,V,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,-0.810,2.720758089568604,2.720758089568604,4.294738,65
TcTa1,Tc,1,Ta,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,-0.677,3.190821,3.190821,3.190821,221
FeTi2,Fe,1,Ti,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,-0.719,7.934107194652843,7.934107194652843,7.934107194652843,227
CrNi1,Cr,1,Ni,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,-0.350,2.893594,2.893594,2.893594,221
MoTa1,Mo,1,Ta,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,-0.691,2.8462954773364624,2.8462954773364624,4.477023,65
YZr1,Y,1,Zr,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,-0.430,3.423583379934539,3.423583379934539,5.402587,187
ScOs2,Sc,1,Os,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,-0.749,5.206074573324704,5.206074573324704,8.612706,194
TiFe1,Ti,1,Fe,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,-0.371,2.7084091202181773,2.7084091202181773,3.841098787714005,65
MoRu1,Mo,1,Ru,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,-0.562,2.7774147960275934,2.7774147960275934,4.463707,187
TaNb1,Ta,1,Nb,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,-0.667,2.878735819412403,2.878735819412403,4.693674,65
VPt2,V,1,Pt,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.843,4.830279899373328,4.830279899373328,4.830279899373328,71
TcPt1,Tc,1,Pt,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.086,4.832786116266371,4.832786116266371,4.832786599611554,166
CoOs1,Co,1,Os,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,-0.040,2.671273874886287,2.671273874886287,4.116557,187
