Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Rh1N1,Rh,1,N,1,102.9055,12.41,2.3968376036918784,1.42,14.0067,0.808,3.064722544994379,0.71
Rh1N2,Rh,1,N,2,102.9055,12.41,2.3968376036918784,1.42,14.0067,0.808,3.064722544994379,0.71
Rh2N1,Rh,2,N,1,102.9055,12.41,2.3968376036918784,1.42,14.0067,0.808,3.064722544994379,0.71
Rh3N4,Rh,3,N,4,102.9055,12.41,2.3968376036918784,1.42,14.0067,0.808,3.064722544994379,0.71
Rh5N2,Rh,5,N,2,102.9055,12.41,2.3968376036918784,1.42,14.0067,0.808,3.064722544994379,0.71
Rh1B1,Rh,1,B,1,102.9055,12.41,2.3968376036918784,1.42,10.811,2.34,1.972269889478773,0.84
Rh1B2,Rh,1,B,2,102.9055,12.41,2.3968376036918784,1.42,10.811,2.34,1.972269889478773,0.84
Rh2B1,Rh,2,B,1,102.9055,12.41,2.3968376036918784,1.42,10.811,2.34,1.972269889478773,0.84
Rh3B4,Rh,3,B,4,102.9055,12.41,2.3968376036918784,1.42,10.811,2.34,1.972269889478773,0.84
Rh5B2,Rh,5,B,2,102.9055,12.41,2.3968376036918784,1.42,10.811,2.34,1.972269889478773,0.84
Rh1C1,Rh,1,C,1,102.9055,12.41,2.3968376036918784,1.42,12.0107,2.2,2.085122400680275,0.76
Rh1C2,Rh,1,C,2,102.9055,12.41,2.3968376036918784,1.42,12.0107,2.2,2.085122400680275,0.76
Rh2C1,Rh,2,C,1,102.9055,12.41,2.3968376036918784,1.42,12.0107,2.2,2.085122400680275,0.76
Rh3C4,Rh,3,C,4,102.9055,12.41,2.3968376036918784,1.42,12.0107,2.2,2.085122400680275,0.76
Rh5C2,Rh,5,C,2,102.9055,12.41,2.3968376036918784,1.42,12.0107,2.2,2.085122400680275,0.76
Ni1N1,Ni,1,N,1,58.6934,8.902,2.220497220254741,1.24,14.0067,0.808,3.064722544994379,0.71
Ni1N2,Ni,1,N,2,58.6934,8.902,2.220497220254741,1.24,14.0067,0.808,3.064722544994379,0.71
Ni2N1,Ni,2,N,1,58.6934,8.902,2.220497220254741,1.24,14.0067,0.808,3.064722544994379,0.71
Ni3N4,Ni,3,N,4,58.6934,8.902,2.220497220254741,1.24,14.0067,0.808,3.064722544994379,0.71
Ni5N2,Ni,5,N,2,58.6934,8.902,2.220497220254741,1.24,14.0067,0.808,3.064722544994379,0.71
Ni1B1,Ni,1,B,1,58.6934,8.902,2.220497220254741,1.24,10.811,2.34,1.972269889478773,0.84
Ni1B2,Ni,1,B,2,58.6934,8.902,2.220497220254741,1.24,10.811,2.34,1.972269889478773,0.84
Ni2B1,Ni,2,B,1,58.6934,8.902,2.220497220254741,1.24,10.811,2.34,1.972269889478773,0.84
